uza,agency,peak_vehicles,apportionment_to_urbanized_area ,per_apport_operator_veh_rev_hrs
"Aguadilla-Isabela-San Sebastián, PR",Municipality of A±asco,3,"$816,557 ",44.358%
"Aguadilla-Isabela-San Sebastián, PR",Municipality of Aguada,2,"$816,557 ",5.025%
"Aguadilla-Isabela-San Sebastián, PR",Municipality of San Sebastian,1,"$816,557 ",29.438%
"Akron, OH",Medina County Public Transit,7,"$3,961,969 ",0.548%
"Akron, OH",METRO Regional Transit Authority ,97,"$3,961,969 ",83.178%
"Akron, OH",Portage Area Regional Transportation Authority,20,"$3,961,969 ",16.274%
"Albany-Schenectady, NY",Vermont Agency of Transportation,7,"$7,653,338 ",0.023%
"Albuquerque, NM",City of Albuquerque,100,"$10,865,684 ",89.866%
"Albuquerque, NM",New Mexico Department of Transportation,50,"$10,865,684 ",0.214%
"Albuquerque, NM",Pueblo of Santa Ana,3,"$10,865,684 ",0.515%
"Albuquerque, NM",Rio Metro Regional Transit District,12,"$10,865,684 ",2.278%
"Allentown-Bethlehem, PA-NJ",County of Carbon,2,"$4,228,668 ",0.117%
"Allentown-Bethlehem, PA-NJ",Lehigh and Northampton Transportation Authority,71,"$4,228,668 ",99.599%
"Amarillo, TX",City of Amarillo,12,"$1,417,561 ",45.226%
"Amarillo, TX",Panhandle Community Services ,82,"$1,417,561 ",54.774%
"Anchorage, AK",Municipality of Anchorage,47,"$8,863,218 ",95.764%
"Ann Arbor, MI",Ann Arbor Area Transportation Authority,78,"$3,984,414 ",76.578%
"Ann Arbor, MI",University of Michigan Parking and Transportation Services,46,"$3,984,414 ",23.353%
"Antioch, CA",The Eastern Contra Costa Transit Authority,52,"$4,537,527 ",61.609%
"Appleton, WI",City of Appleton,22,"$1,409,431 ",100.000%
"Asheville, NC",Buncombe County,3,"$1,671,358 ",25.406%
"Asheville, NC",City of Asheville,19,"$1,671,358 ",68.278%
"Asheville, NC",Henderson County,3,"$1,671,358 ",6.316%
"Atlanta, GA",Bartow County ,12,"$39,983,856 ",0.120%
"Atlanta, GA",Atlanta Regional Commission,2,"$39,983,856 ",0.105%
"Atlanta, GA",Cherokee County Board of Commissioners,2,"$39,983,856 ",0.522%
"Atlanta, GA",Cobb County,57,"$39,983,856 ",6.817%
"Atlanta, GA",County of Douglas,6,"$39,983,856 ",0.779%
"Atlanta, GA",Coweta County,8,"$39,983,856 ",0.200%
"Atlanta, GA",Forsyth County Board of Commissioners,13,"$39,983,856 ",0.377%
"Atlanta, GA",Gwinnett County Board of Commissioners,49,"$39,983,856 ",3.759%
"Atlanta, GA",Henry County ,28,"$39,983,856 ",0.765%
"Atlantic City-Ocean City-Villas, NJ",Cape May County,21,"$6,991,995 ",6.918%
"Atlantic City-Ocean City-Villas, NJ",County of Atlantic,33,"$6,991,995 ",3.474%
"Atlantic City-Ocean City-Villas, NJ",South Jersey Transportation Authority,28,"$6,991,995 ",1.763%
"Augusta-Richmond County, GA-SC",Augusta Richmond County Transit Department,12,"$1,740,354 ",80.672%
"Augusta-Richmond County, GA-SC",Lower Savannah COG,3,"$1,740,354 ",19.328%
"Austin, TX",City of Round Rock,6,"$19,879,712 ",1.339%
"Bakersfield, CA",Golden Empire Transit District,61,"$4,278,178 ",99.973%
"Baltimore, MD",Anne Arundel County,7,"$38,776,914 ",2.470%
"Baltimore, MD",Baltimore County Department of Public Works Transportation,10,"$38,776,914 ",0.775%
"Baltimore, MD",City of Annapolis,10,"$38,776,914 ",1.272%
"Baltimore, MD",City of Baltimore,18,"$38,776,914 ",1.919%
"Baltimore, MD",Queen Anne's County Department of Aging,6,"$38,776,914 ",0.372%
"Baltimore, MD","Transit Management of Central Maryland, Inc.",23,"$38,776,914 ",4.063%
"Barnstable Town, MA",Cape Cod Regional Transit Authority,55,"$5,788,763 ",61.087%
"Barnstable Town, MA",Greater Attleboro-Taunton Regional Transit Authority,34,"$5,788,763 ",8.300%
"Barnstable Town, MA",Massachusetts Department of Transportation,8,"$5,788,763 ",1.091%
"Barnstable Town, MA",The Mashpee Wampanoag Tribe,4,"$5,788,763 ",0.729%
"Barnstable Town, MA","Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",14,"$5,788,763 ",12.020%
"Baton Rouge, LA",Capital Area Transit System,44,"$3,208,796 ",100.000%
"Bel Air-Aberdeen, MD",Harford County Maryland,12,"$1,907,540 ",100.000%
"Birmingham, AL",Birmingham-Jefferson County Transit Authority,70,"$3,793,366 ",93.915%
"Birmingham, AL",Regional Planning Commission of Greater Birmingham,26,"$3,793,366 ",6.085%
"Boise City, ID",Ada County Highway District,81,"$2,660,111 ",11.287%
"Boise City, ID",Boise State University,9,"$2,660,111 ",13.783%
"Boise City, ID",Valley Regional Transit,38,"$2,660,111 ",74.929%
"Bonita Springs-Estero, FL",Collier County,22,"$2,773,429 ",73.420%
"Bonita Springs-Estero, FL","Florida Department of Transportation, District 1 Office",28,"$2,773,429 ",2.583%
"Bonita Springs-Estero, FL",Lee County Transit,45,"$2,773,429 ",23.997%
"Boston, MA-NH",Brockton Area Transit Authority,44,"$85,919,012 ",2.220%
"Boston, MA-NH",Cape Ann Transportation Authority,10,"$85,919,012 ",0.603%
"Boston, MA-NH",City of Beverly,3,"$85,919,012 ",0.045%
"Boston, MA-NH",Greater Attleboro-Taunton Regional Transit Authority,34,"$85,919,012 ",1.468%
"Boston, MA-NH",New Hampshire Department of Transportation,31,"$85,919,012 ",1.000%
"Boston, MA-NH",Lowell Regional Transit Authority,42,"$85,919,012 ",1.585%
"Boston, MA-NH",Manchester Transit Authority,14,"$85,919,012 ",0.052%
"Boston, MA-NH",Merrimack Valley Regional Transit Authority,40,"$85,919,012 ",2.422%
"Boston, MA-NH",MetroWest Regional Transit Authority,37,"$85,919,012 ",1.896%
"Boston, MA-NH",Montachusett Regional Transit Authority,26,"$85,919,012 ",0.197%
"Boston, MA-NH",The Mashpee Wampanoag Tribe,4,"$85,919,012 ",0.006%
"Boston, MA-NH",Town of Bedford,1,"$85,919,012 ",0.010%
"Boston, MA-NH",Town of Lexington,3,"$85,919,012 ",0.124%
"Bradenton-Sarasota-Venice, FL",Charlotte County Government,17,"$5,825,542 ",1.073%
"Bradenton-Sarasota-Venice, FL","Florida Department of Transportation, District 1 Office",28,"$5,825,542 ",0.173%
"Bradenton-Sarasota-Venice, FL",Manatee County Board of County Commissioners,25,"$5,825,542 ",34.815%
"Bradenton-Sarasota-Venice, FL",Sarasota County ,33,"$5,825,542 ",63.429%
"Bremerton, WA",Kitsap Transit,92,"$2,208,551 ",95.447%
"Bridgeport-Stamford, CT-NY",Greater Bridgeport Transit Authority,39,"$14,790,071 ",28.357%
"Bridgeport-Stamford, CT-NY",Greater New Haven Transit District,51,"$14,790,071 ",0.594%
"Bridgeport-Stamford, CT-NY",Housatonic Area Regional Transit ,29,"$14,790,071 ",1.007%
"Bridgeport-Stamford, CT-NY",Milford Transit District,6,"$14,790,071 ",4.451%
"Bridgeport-Stamford, CT-NY",Norwalk Transit District,24,"$14,790,071 ",17.595%
"Bridgeport-Stamford, CT-NY",Valley Transit District,12,"$14,790,071 ",2.037%
"Brownsville, TX",City of Brownsville ,16,"$1,425,372 ",100.000%
"Canton, OH",Stark Area Regional Transit Authority,36,"$2,200,571 ",100.000%
"Cape Coral, FL","Florida Department of Transportation, District 1 Office",28,"$4,467,224 ",2.877%
"Cape Coral, FL",Lee County Transit,45,"$4,467,224 ",97.123%
"Charleston, SC",Berkeley Charleston Dorchester RTMA,22,"$3,802,467 ",5.115%
"Charleston, SC",Charleston Area Regional Transportation Authority,57,"$3,802,467 ",94.885%
"Charlotte, NC-SC",City of Concord,8,"$11,062,586 ",0.125%
"Charlotte, NC-SC",South Carolina Department of Transportation,15,"$11,062,586 ",0.011%
"Charlotte, NC-SC",Mecklenburg County ,88,"$11,062,586 ",19.687%
"Charlotte, NC-SC",The County of Iredell,3,"$11,062,586 ",1.535%
"Charlotte, NC-SC",Union County,25,"$11,062,586 ",3.173%
"Chattanooga, TN-GA",Catoosa County,11,"$2,149,614 ",4.203%
