state,total
Alabama,34250127
Alaska,39242963
American Samoa,1186111
Arizona,79376444
Arkansas,21726269
California,848999833
Colorado,84076031
Commonwealth of the Northern Mariana Islands,1181091
Connecticut,114320972
Delaware,17252963
District Of Columbia,145032926
Florida,258544856
Georgia,122457266
Guam,2316229
Hawaii,27621453
Idaho,19562018
Illinois,379800320
Indiana,57793692
Iowa,27239768
Kansas,22729093
Kentucky,32979388
Louisiana,40106268
Maine,23602441
Maryland,152384167
Massachusetts,246093151
Michigan,78211718
Minnesota,72891678
Mississippi,19356883
Missouri,62382919
Montana,16508259
Nebraska,20299272
Nevada,39955996
New Hampshire,12210058
New Jersey,375246051
New Mexico,34399230
New York,1023198140
North Carolina,75147165
North Dakota,11678734
Ohio,112253327
Oklahoma,31740949
Oregon,69847956
Pennsylvania,271509877
Puerto Rico,32297090
Rhode Island,27239271
South Carolina,33747943
South Dakota,12723924
Tennessee,54914359
Texas,280645289
Utah,60852894
Vermont,8836584
Virgin Islands,1835919
Virginia,94215548
Washington,160984027
West Virginia,19075832
Wisconsin,49825452
Wyoming,9951373
